date,hour,temprature,precip_prob,wind_speed
1/20/2018,20,9.4,0,1.73
1/21/2018,20,10,0,0.35
1/22/2018,20,7.2,0,2.54
1/23/2018,20,15.6,0,6.31
1/24/2018,20,2.2,0,6.06
1/25/2018,20,1.1,0,1.97
1/26/2018,20,3.3,0,1.58
1/27/2018,20,12.8,0,3.38
1/28/2018,20,10,0,0.24
1/29/2018,20,5.6,0,4.88
1/30/2018,20,1.65,0,6.98
1/31/2018,20,0,0,5.11
2/1/2018,20,7.2,0.24,0.08
2/2/2018,20,-4.4,0,7.81
2/3/2018,20,-1.1,0,4.55
2/4/2018,20,4.266666667,1,0.9
2/5/2018,20,-0.6,0,1.71
2/6/2018,20,2.8,0,0.65
2/7/2018,20,0.825,0.94,3.27
2/8/2018,20,-0.6,0,1.59
2/9/2018,20,0.6,0,2.21
2/10/2018,20,7.8,1,0.43
2/11/2018,20,11.83333333,0.41,1.72
2/12/2018,20,6.7,0,3.95
2/13/2018,20,2.8,0,0.72
2/14/2018,20,11.7,0,0.94
2/15/2018,20,15,0,0.47
2/16/2018,20,10.6,0,7.51
2/17/2018,20,2.2,0.2,0.53
2/18/2018,20,6.1,0,0.05
2/19/2018,20,9.4,0.72,0.61
2/20/2018,20,18.9,0,0.7
2/21/2018,20,25.6,0.18,1.67
2/22/2018,20,4.15,0,3.38
2/23/2018,20,3.733333333,0.52,0.14
2/24/2018,20,8.9,0.41,0.05
2/25/2018,20,5.6,0,0.18
2/26/2018,20,10.6,0,0.79
2/27/2018,20,12.8,0,2.21
2/28/2018,20,16.1,0,1.09
3/1/2018,20,13.9,0,2.59
3/2/2018,20,1.7,0.67,9.75
3/3/2018,20,7.8,0,6.77
3/4/2018,20,6.1,0,6.81
3/5/2018,20,5.6,0,2.7
3/6/2018,20,6.1,0,4.03
3/7/2018,20,0.933333333,0.71,2.98
3/8/2018,20,3.3,0.13,2.6
3/9/2018,20,5.6,0,5.01
3/10/2018,20,3.9,0,3.64
3/11/2018,20,6.7,0,0.8
3/12/2018,20,5.6,0,5.01
3/13/2018,20,3.9,0,5.46
3/14/2018,20,3.9,0,6.49
3/15/2018,20,7.2,0,5.01
3/16/2018,20,2.8,0,6.2
3/17/2018,20,7.8,0,2.45
3/18/2018,20,5.6,0,0.6
3/19/2018,20,7.8,0,0.63
3/20/2018,20,2.8,0,4.25
3/21/2018,20,0,0.27,51.33333333
3/22/2018,20,10,0,4.6
3/23/2018,20,8.3,0,4.38
3/24/2018,20,9.4,0,1.67
