id,address,longitude,latitude,capacity,has_kiosk,station_type
369,Washington Pl & 6 Ave,-74.00026394,40.73224119,60,True,classic
372,Franklin Ave & Myrtle Ave,-73.95801365375519,40.694546087246025,27,True,classic
373,Willoughby Ave & Walworth St,-73.95381995,40.69331716,19,True,classic
376,John St & William St,-74.00722156,40.70862144,43,True,classic
377,6 Ave & Canal St,-74.00566443,40.72243797,48,True,classic
379,W 31 St & 7 Ave,-73.9916,40.749156,0,True,classic
380,W 4 St & 7 Ave S,-74.00293877,40.73401143,42,True,classic
383,Greenwich Ave & Charles St,-74.000271,40.735238,39,True,classic
385,E 55 St & 2 Ave,-73.96603308,40.75797322,29,True,classic
386,Centre St & Worth St,-74.00234482,40.71494807,43,True,classic
387,Centre St & Chambers St,-74.0046073,40.71273266,39,True,classic
388,W 26 St & 10 Ave,-74.002950346,40.749717753,35,True,classic
389,Broadway & Berry St,-73.96525063,40.71044554,27,True,classic
390,Duffield St & Willoughby St,-73.9842844,40.69221589,31,True,classic
391,Clark St & Henry St,-73.99344559,40.69760127,31,True,classic
392,Jay St & Tech Pl,-73.987167,40.695065,35,True,classic
393,E 5 St & Avenue C,-73.97995466,40.72299208,37,True,classic
394,E 9 St & Avenue C,-73.97768752,40.72521311,34,True,classic
396,Lefferts Pl & Franklin Ave,-73.9557689392,40.680342423,25,True,classic
397,Fulton St & Clermont Ave,-73.96922273,40.68415748,27,True,classic
398,Atlantic Ave & Furman St,-73.9999786,40.69165183,31,True,classic
399,Lafayette Ave & St James Pl,-73.9647628,40.68851534,27,True,classic
400,Pitt St & Stanton St,-73.98178024,40.71926081,15,True,classic
401,Allen St & Rivington St,-73.98997825,40.72019576,42,True,classic
402,Broadway & E 22 St,-73.98955109,40.7403432,39,True,classic
403,E 2 St & 2 Ave,-73.99069656,40.72502876,31,True,classic
405,Washington St & Gansevoort St,-74.008119,40.739323,51,True,classic
406,Hicks St & Montague St,-73.99595065,40.69512845,34,True,classic
408,Market St & Cherry St,-73.99400398,40.71076228,23,True,classic
410,Suffolk St & Stanton St,-73.98517977,40.72066442,45,True,classic
411,E 6 St & Avenue D,-73.97668709,40.72228087,31,True,classic
412,Forsyth St & Canal St,-73.99422366,40.7158155,29,True,classic
415,Pearl St & Hanover Square,-74.00926027,40.7047177,46,True,classic
416,Cumberland St & Lafayette Ave,-73.97265183,40.68753406,31,True,classic
417,Barclay St & Church St,-74.01020234,40.71291224,25,True,classic
418,Front St & Gold St,-73.982578,40.70224,23,True,classic
419,Carlton Ave & Park Ave,-73.97355569,40.69580705,23,True,classic
420,Clermont Ave & Lafayette Ave,-73.96968902,40.68764484,23,True,classic
421,Clermont Ave & Park Ave,-73.97129668,40.69573398,19,True,classic
422,W 59 St & 10 Ave,-73.988038,40.770513,78,True,classic
423,W 54 St & 9 Ave,-73.98690506,40.76584941,27,True,classic
426,West St & Chambers St,-74.01322069,40.71754834,30,True,classic
427,Bus Slip & State St,-74.013942,40.701907,47,True,classic
432,E 7 St & Avenue A,-73.98379855,40.72621788,31,True,classic
434,9 Ave & W 18 St,-74.00366443,40.74317449,60,True,classic
435,W 21 St & 6 Ave,-73.99415556,40.74173969,50,True,classic
436,Hancock St & Bedford Ave,-73.95399026,40.68216564,27,True,classic
437,Macon St & Nostrand Ave,-73.9500479759,40.6809833854,24,True,classic
438,St Marks Pl & 1 Ave,-73.98564945,40.72779126,47,True,classic
